,epoch,batch_size,learning_rate,dropout,classification_lambda,classification_layer_num,batch_normalization,weight_decay,reconstruction_error_rate,classification_accuracy
24,100,16,0.0001,0.0,0.5,2,True,0.001,0.07593532481363842,94.28571428571429
25,100,16,0.0001,0.0,0.5,2,True,0.0001,0.06249328085354396,91.42857142857143
26,100,16,0.0001,0.0,0.5,2,True,1e-05,0.07160960627453668,91.42857142857143
27,100,16,0.0001,0.0,0.5,2,False,0.001,0.10458295898778099,82.85714285714286
28,100,16,0.0001,0.0,0.5,2,False,0.0001,0.08083865983145577,82.85714285714286
29,100,16,0.0001,0.0,0.5,2,False,1e-05,0.0849021988255637,77.14285714285714
30,100,16,0.0001,0.0,0.5,3,True,0.001,0.07439666922603334,82.85714285714286
31,100,16,0.0001,0.0,0.5,3,True,0.0001,0.07375282176903315,91.42857142857143
32,100,16,0.0001,0.0,0.5,3,True,1e-05,0.06826672788177218,88.57142857142857
33,100,16,0.0001,0.0,0.5,3,False,0.001,0.1115571671298572,91.42857142857143
34,100,16,0.0001,0.0,0.5,3,False,0.0001,0.09288695284298489,88.57142857142857
35,100,16,0.0001,0.0,0.5,3,False,1e-05,0.10579810568264553,80.0
36,100,16,0.0001,0.0,0.7,1,True,0.001,0.06539150880915778,94.28571428571429
37,100,16,0.0001,0.0,0.7,1,True,0.0001,0.09066288045474462,80.0
38,100,16,0.0001,0.0,0.7,1,True,1e-05,0.07606080046721868,94.28571428571429
39,100,16,0.0001,0.0,0.7,1,False,0.001,0.10551684009177344,82.85714285714286
40,100,16,0.0001,0.0,0.7,1,False,0.0001,0.08631668303694044,88.57142857142857
41,100,16,0.0001,0.0,0.7,1,False,1e-05,0.09541941966329302,85.71428571428571
42,100,16,0.0001,0.0,0.7,2,True,0.001,0.07390856529985156,77.14285714285714
43,100,16,0.0001,0.0,0.7,2,True,0.0001,0.06443488810743604,94.28571428571429
44,100,16,0.0001,0.0,0.7,2,True,1e-05,0.08721262024981635,91.42857142857143
45,100,16,0.0001,0.0,0.7,2,False,0.001,0.1062608499612127,74.28571428571429
46,100,16,0.0001,0.0,0.7,2,False,0.0001,0.09493069010121481,94.28571428571429
47,100,16,0.0001,0.0,0.7,2,False,1e-05,0.10877044456345694,94.28571428571429
48,100,16,0.0001,0.0,0.7,3,True,0.001,0.08106130766017096,88.57142857142857
49,100,16,0.0001,0.0,0.7,3,True,0.0001,0.09867788191352572,88.57142857142857
50,100,16,0.0001,0.0,0.7,3,True,1e-05,0.08347810506820678,91.42857142857143
51,100,16,0.0001,0.0,0.7,3,False,0.001,0.10684124933821815,85.71428571428571
52,100,16,0.0001,0.0,0.7,3,False,0.0001,0.12231759492840086,62.857142857142854
53,100,16,0.0001,0.0,0.7,3,False,1e-05,0.10802228323050908,85.71428571428571
54,100,16,0.0001,0.3,0.1,1,True,0.001,0.0652126989194325,94.28571428571429
55,100,16,0.0001,0.3,0.1,1,True,0.0001,0.0874165192246437,80.0
56,100,16,0.0001,0.3,0.1,1,True,1e-05,0.08210317492485046,88.57142857142857
