,epoch,batch_size,learning_rate,bottleneck_dim,weight_decay,auto_encoder,batch_normalization,error_rate
190,100,32,0.0001,32.0,1e-05,linear,False,0.1445653395993369
191,100,32,0.0001,64.0,1e-05,linear,False,0.12750739668096814
192,100,32,0.001,16.0,0.01,linear,False,0.15506771888051715
193,100,32,0.001,32.0,0.01,linear,False,0.1501039730651038
194,100,32,0.001,64.0,0.01,linear,False,0.1520853204386575
195,100,32,0.001,16.0,0.001,linear,False,0.14949485404150828
196,100,32,0.001,32.0,0.001,linear,False,0.15122815711157664
197,100,32,0.001,64.0,0.001,linear,False,0.1515400537422725
198,100,32,0.001,16.0,0.0001,linear,False,0.130241630758558
199,100,32,0.001,32.0,0.0001,linear,False,0.1331420660018921
200,100,32,0.001,64.0,0.0001,linear,False,0.14271866934640068
201,100,32,0.001,16.0,1e-05,linear,False,0.10694207123347692
202,100,32,0.001,32.0,1e-05,linear,False,0.13064051589795522
203,100,32,0.001,64.0,1e-05,linear,False,0.09944609999656677
204,100,32,0.01,16.0,0.01,linear,False,0.15581191096987043
205,100,32,0.01,32.0,0.01,linear,False,0.15143836779253825
206,100,32,0.01,64.0,0.01,linear,False,0.1579547894852502
207,100,32,0.01,16.0,0.001,linear,False,0.15288223581654684
208,100,32,0.01,32.0,0.001,linear,False,0.1495027312210628
209,100,32,0.01,64.0,0.001,linear,False,0.15483140093939646
210,100,32,0.01,16.0,0.0001,linear,False,0.13140900135040284
211,100,32,0.01,32.0,0.0001,linear,False,0.14077975707394735
212,100,32,0.01,64.0,0.0001,linear,False,0.15464203485420772
213,100,32,0.01,16.0,1e-05,linear,False,0.13532029007162366
214,100,32,0.01,32.0,1e-05,linear,False,0.13849225768021176
215,100,32,0.01,64.0,1e-05,linear,False,0.13449151601110185
216,100,64,0.0001,16.0,0.01,linear,False,0.15438786149024963
217,100,64,0.0001,32.0,0.01,linear,False,0.1500692516565323
218,100,64,0.0001,64.0,0.01,linear,False,0.15313977003097534
219,100,64,0.0001,16.0,0.001,linear,False,0.1542421579360962
220,100,64,0.0001,32.0,0.001,linear,False,0.15884819626808167
221,100,64,0.0001,64.0,0.001,linear,False,0.15201403200626373
222,100,64,0.0001,16.0,0.0001,linear,False,0.1358918696641922
223,100,64,0.0001,32.0,0.0001,linear,False,0.13482092320919037
224,100,64,0.0001,64.0,0.0001,linear,False,0.12886251509189606
225,100,64,0.0001,16.0,1e-05,linear,False,0.13209261000156403
226,100,64,0.0001,32.0,1e-05,linear,False,0.13047857582569122
227,100,64,0.0001,64.0,1e-05,linear,False,0.12995074689388275
228,100,64,0.001,16.0,0.01,linear,False,0.15517036616802216
229,100,64,0.001,32.0,0.01,linear,False,0.15255573391914368
230,100,64,0.001,64.0,0.01,linear,False,0.15750941634178162
231,100,64,0.001,16.0,0.001,linear,False,0.1576722115278244
232,100,64,0.001,32.0,0.001,linear,False,0.15998704731464386
233,100,64,0.001,64.0,0.001,linear,False,0.15364491939544678
234,100,64,0.001,16.0,0.0001,linear,False,0.1339767426252365
235,100,64,0.001,32.0,0.0001,linear,False,0.13512863218784332
236,100,64,0.001,64.0,0.0001,linear,False,0.13775841891765594
237,100,64,0.001,16.0,1e-05,linear,False,0.09042400121688843
238,100,64,0.001,32.0,1e-05,linear,False,0.09371646493673325
239,100,64,0.001,64.0,1e-05,linear,False,0.11405512690544128
240,100,64,0.01,16.0,0.01,linear,False,0.15081395208835602
241,100,64,0.01,32.0,0.01,linear,False,0.1498790979385376
242,100,64,0.01,64.0,0.01,linear,False,0.15669260919094086
243,100,64,0.01,16.0,0.001,linear,False,0.15625005960464478
244,100,64,0.01,32.0,0.001,linear,False,0.1463615745306015
245,100,64,0.01,64.0,0.001,linear,False,0.15573740005493164
246,100,64,0.01,16.0,0.0001,linear,False,0.14023751020431519
247,100,64,0.01,32.0,0.0001,linear,False,0.13968825340270996
248,100,64,0.01,64.0,0.0001,linear,False,0.13312241435050964
249,100,64,0.01,16.0,1e-05,linear,False,0.13037127256393433
250,100,64,0.01,32.0,1e-05,linear,False,0.13465555012226105
251,100,64,0.01,64.0,1e-05,linear,False,0.14225825667381287
252,200,16,0.0001,16.0,0.01,linear,False,0.15573021599224635
253,200,16,0.0001,32.0,0.01,linear,False,0.14762571113450187
254,200,16,0.0001,64.0,0.01,linear,False,0.1584539077111653
255,200,16,0.0001,16.0,0.001,linear,False,0.1471547829253333
256,200,16,0.0001,32.0,0.001,linear,False,0.1473431693656104
257,200,16,0.0001,64.0,0.001,linear,False,0.15696277746132442
258,200,16,0.0001,16.0,0.0001,linear,False,0.12234651105744498
259,200,16,0.0001,32.0,0.0001,linear,False,0.1361154671226229
260,200,16,0.0001,64.0,0.0001,linear,False,0.13247955654348645
261,200,16,0.0001,16.0,1e-05,linear,False,0.09162939935922623
262,200,16,0.0001,32.0,1e-05,linear,False,0.0805932953953743
263,200,16,0.0001,64.0,1e-05,linear,False,0.10017430888754981
264,200,16,0.001,16.0,0.01,linear,False,0.15119459735495702
265,200,16,0.001,32.0,0.01,linear,False,0.15671644466263907
266,200,16,0.001,64.0,0.01,linear,False,0.15342150458267756
267,200,16,0.001,16.0,0.001,linear,False,0.15316278764179775
268,200,16,0.001,32.0,0.001,linear,False,0.14958701985222952
269,200,16,0.001,64.0,0.001,linear,False,0.15594438995633805
270,200,16,0.001,16.0,0.0001,linear,False,0.1333530087556158
271,200,16,0.001,32.0,0.0001,linear,False,0.1349119686654636
272,200,16,0.001,64.0,0.0001,linear,False,0.1364424386194774
273,200,16,0.001,16.0,1e-05,linear,False,0.0886959542121206
274,200,16,0.001,32.0,1e-05,linear,False,0.09162082693406513
275,200,16,0.001,64.0,1e-05,linear,False,0.07943268056426729
276,200,16,0.01,16.0,0.01,linear,False,0.15415970087051392
277,200,16,0.01,32.0,0.01,linear,False,0.1490966805389949
278,200,16,0.01,64.0,0.01,linear,False,0.1538220920733043
279,200,16,0.01,16.0,0.001,linear,False,0.15183991747243064
